('asp-4', 'C35E7.11')
('fbxb-43', 'nhr-258')
('rsa-1', 'K07C5.9')
('Y7A9D.1', 'pqn-44')
('cks-1', 'dylt-2')
('F20C5.6', 'Y66D12A.30')
('duxl-1', 'F30A10.15')
('lsm-5', 'jnk-1')
('T25B9.8', 'F09E10.5')
('F53B3.5', 'ndk-1')
('cyk-4', 'nlp-7')
('C01B12.8', 'T01D3.1')
('npp-16', 'T23B3.2')
('C09G4.4', 'K06A4.2')
('sap-49', 'che-7')
('F33H2.3', 'bbs-5')
('ZC21.10', 'C14A11.5')
('T04D3.5', 'xbx-9')
('kin-10', 'E04D5.5')
('F19F10.9', 'snt-1')
('B0285.3', 'snt-6')
('pafo-1', 'glb-18')
('calu-1', 'C23G10.10')
('T22C1.4', 'hlh-4')
('enpl-1', 'atf-5')
('hel-1', 'unc-41')
('unc-39', 'sri-47')
('F54D5.5', 'cutl-26')
('sec-61', 'xbx-3')
('Y41D4A.3', 'sri-48')
('let-418', 'F56F10.2')
('ddx-17', 'shk-1')
('nop-1', 'rab-19')
('VH15N14R.1', 'unc-104')
('igcm-3', 'aldo-1')
('sas-7', 'sng-1')
('tbb-4', 'oig-8')
('C39E9.11', 'kin-1')
('K07F5.15', 'ipgm-1')
('ctc-3', 'F39H12.2')
('nurf-1', 'F58B4.2')
('ncbp-2', 'hlh-10')
('lbp-1', 'ZK994.6')
('mdt-9', 'nhr-58')
('cutl-29', 'che-12')
('eef-1G', 'ZC487.1')
('rfc-3', 'R13A5.9')
('F53H1.4', 'clc-3')
('syd-9', 'lgc-20')
('C48D1.1', 'dma-1')
('pif-1', 'ift-74')
('hil-7', 'klp-13')
('spd-2', 'gst-39')
('R08B4.5', 'Y22D7AL.16')
('F28D1.2', 'K05B2.2')
('let-504', 'ftt-2')
('crt-1', 'nhr-100')
('mbk-2', 'syd-1')
('T24B8.3', 'slc-17.1')
('T24E12.2', 'K07C11.10')
('W04A8.1', 'M117.1')
('met-1', 'srp-6')
('Y55F3AM.3', 'mdt-15')
('smc-4', 'cutl-24')
('rpl-12', 'H11E01.3')
('cyn-13', 'W05H12.1')
('fbxb-100', 'F25H2.6')
('rba-1', 'T04C12.9')
('smu-1', 'C26G2.2')
('C09B8.5', 'nekl-1')
('hcp-4', 'mksr-2')
('hlb-1', 'W04A4.6')
('C29E4.12', 'F55A4.3')
('Y37E3.30', 'lntl-1')
('snr-3', 'C29H12.6')
('M110.9', 'Y23H5B.1')
('plk-1', 'AH9.6')
('lin-53', 'ptl-1')
('wapl-1', 'C39D10.5')
('hpl-2', 'T27A10.2')
('cdl-1', 'mfb-1')
('hcp-6', 'ntc-1')
('tpxl-1', 'rab-3')
('inx-2', 'F38B7.10')
('H28G03.2', 'C14A11.2')
('K01G5.8', 'xbx-4')
('grl-25', 'glb-25')
('C37C3.17', 'bre-1')
('Y67H2A.10', 'C33A12.4')
('EEED8.15', 'F13H10.9')
('cec-5', 'zfh-2')
('bub-1', 'nhr-213')
('set-1', 'pat-10')
('B0393.3', 'nhr-45')
('ndc-80', 'ric-19')
('D1081.6', 'F09E5.12')
('pqn-59', 'F35C11.4')
('hsp-3', 'mec-2')
('Y37E3.1', 'dac-1')
('suf-1', 'ets-5')
('fbxb-111', 'unc-53')
('rnp-3', 'W10G6.6')
('lron-11', 'F28E10.1')
('B0416.5', 'rgs-6')
('cdh-12', 'Y53G8AL.1')
('zen-4', 'pkc-1')
('ref-2', 'F53B1.3')
('mdt-18', 'unc-1')
('ptrn-1', 'C30H6.12')
('tbb-1', 'odr-2')
('C46C11.4', 'T03G11.3')
('Y17D7C.1', 'F10E7.9')
('T03G11.6', 'acy-1')
('R11G1.2', 'trx-1')
('C43D7.8', 'C31H5.5')
('Y47H9C.8', 'D2096.9')
('him-1', 'T19D2.2')
('cdk-7', 'mdl-1')
('R05G6.5', 'T21C12.3')
('T20B12.7', 'odr-3')
('F12F6.7', 'cah-2')
('exc-9', 'gpc-2')
('eor-1', 'Y102A11A.2')
('T01B7.9', 'nhr-51')
('mrps-11', 'F13E6.2')
('pri-2', 'K08C7.4')
('fzy-1', 'daf-3')
('C10A4.3', 'rgs-2')
('arrd-25', 'cutl-15')
('E01G6.2', 'ZC443.4')
('mps-2', 'F08B4.4')
('inf-1', 'F38B6.6')
('sdz-10', 'che-3')
('vps-20', 'C08G5.7')
('efl-3', 'mpz-1')
('mcm-7', 'R06C1.6')
('sup-26', 'ptr-5')
('T21C9.4', 'slo-1')
('T27A1.2', 'Y43F8C.3')
('W02B8.2', 'pde-5')
('ubq-1', 'T22D1.5')
('Y73F8A.13', 'F40F8.1')
('sna-1', 'lec-3')
('ZC373.5', 'C02E7.6')
('Y17G9B.11', 'F13E9.11')
('cdt-1', 'W09H1.1')
('ruvb-1', 'Y43C5A.7')
('snrp-40.1', 'R09F10.5')
('ani-1', 'F19C7.8')
('ZK1127.3', 'rfip-1')
('H28O16.1', 'cdgs-1')
('Y50E8A.5', 'mcp-1')
('ZK1248.19', 'lin-2')
('swd-2.2', 'maph-9')
('thk-1', 'F32D8.1')
('fbxb-105', 'dkf-2')
('spdl-1', 'tbc-8')
('unc-83', 'nhr-158')
('pcaf-1', 'ZK742.7')
('T27F7.12', 'F59D12.1')
('unc-44', 'nhr-3')
('Y50D7A.10', 'gst-10')
('ctf-18', 'tmem-231')
('C01A2.1', 'C15H9.9')
('C23F12.4', 'nhr-138')
('ced-8', 'unc-42')
('F53F4.14', 'pcbd-1')
('pen-2', 'rbf-1')
('F37A4.2', 'sdpn-1')
('ced-11', 'cng-1')
('M01B12.4', 'cth-2')
('myrf-2', 'cmk-1')
('capg-2', 'C18D11.7')
('Y17G7B.20', 'Y73F8A.5')
('gex-2', 'C02F5.12')
('noca-1', 'rhgf-1')
('egl-43', 'F34D10.6')
('C06E1.1', 'gpb-1')
('byn-1', 'C35C5.10')
('C27A7.5', 'C54C6.6')
('kmo-2', 'T24C4.3')
('rpb-3', 'C02B4.4')
('W10D9.1', 'odr-1')
('T10E9.2', 'Y97E10AR.1')
('cas-1', 'nhr-134')
('R04E5.9', 'snet-1')
('Y44E3A.1', 'C13G3.1')
('R05D3.8', 'atat-2')
('H06I04.1', 'xbx-1')
('ard-1', 'C08F1.8')
('Y54F10BM.9', 'tba-6')
('Y71F9AL.7', 'Y54E10BL.3')
('W03G9.8', 'B0222.1')
('C50F4.6', 'gcy-36')
('F59A6.5', 'tax-2')
('F41D9.2', 'hot-5')
('pdi-3', 'egl-3')
('sir-2.1', 'far-1')
('air-2', 'F37A4.6')
('lgl-1', 'nhr-188')
('cec-4', 'ZC132.3')
('F19G12.3', 'ceh-36')
('wrm-1', 'scd-1')
('rsp-3', 'D1069.1')
('snr-2', 'che-11')
('mel-11', 'Y95B8A.12')
('gut-2', 'mks-1')
('ver-3', 'upp-1')
('F56A8.3', 'fbxa-167')
('cyn-5', 'ins-1')
('pcn-1', 'E04F6.10')
('hcp-3', 'K04D7.6')
('flh-3', 'zig-1')
('sld-5', 'H03A11.2')
('Y17G9B.2', 'H35B03.1')
('F33H2.6', 'H01G02.3')
('epc-1', 'cut-2')
('prp-3', 'ncs-1')
('tcl-2', 'sri-30')
('mnk-1', 'lron-3')
('flh-1', 'F15A4.5')
('top-1', 'dyf-3')
('ceh-8', 'F32D1.3')
('pbrm-1', 'unc-86')
('his-32', 'gasr-8')
('erd-2', 'flp-25')
('gmn-1', 'ceh-57')
('plr-1', 'F15G9.1')
('F58D2.4', 'F48E8.8')
('hinf-1', 'C01G12.7')
('pmp-3', 'unc-13')
('snpc-1.1', 'calf-1')
('cyn-8', 'nlf-1')
('egl-1', 'gcy-9')
('fbxb-41', 'ZK418.10')
('knl-1', 'sup-36')
('ncbp-1', 'F49H12.3')
('B0041.8', 'R06C1.4')
('skp-1', 'R01H2.8')
('C06B8.7', 'F46C5.9')
('skr-19', 'nlp-55')
('sox-3', 'ces-1')
('C16A3.6', 'W02C12.2')
('dyla-1', 'unc-76')
('sqd-1', 'kqt-1')
('Y71A12B.12', 'M03C11.1')
('smc-3', 'gpd-2')
('Y54G11A.11', 'fbxc-17')
('snr-1', 'unc-14')
('T24H7.2', 'nhr-124')
('polk-1', 'rig-3')
('Y64G10A.7', 'arrd-4')
('grd-1', 'Y41C4A.17')
('lat-1', 'uba-1')
('sys-1', 'tbc-7')
('Y39G10AR.9', 'ZK682.7')
('chaf-1', 'oxy-5')
('sdz-9', 'cog-1')
('hcp-2', 'hot-2')
('C49H3.3', 'cpna-5')
('ZK484.3', 'srg-7')
('cdc-26', 'pde-6')
('mel-28', 'mab-31')
('D2030.11', 'gcy-18')
('tag-349', 'Y41E3.7')
('F40G9.6', 'vhp-1')
('swsn-2.2', 'sad-1')
('repo-1', 'tkr-3')
('cope-1', 'gcy-23')
('kin-3', 'F55D10.4')
('rsp-1', 'R01E6.7')
('mcd-1', 'T12B3.1')
('mdf-2', 'W07G1.1')
('T07A9.10', 'C15A7.2')
('F59E12.1', 'M04B2.6')
('lin-35', 'nhr-15')
('cec-8', 'osm-10')
('T22H2.4', 'gcy-34')
('kle-2', 'K08H10.10')
('mrp-5', 'flp-8')
('ttx-3', 'T23F2.3')
('C01F1.1', 'ttr-16')
('T02C1.2', 'gcy-8')
('C06G3.5', 'nab-1')
('vab-3', 'C13F10.1')
('prp-8', 'tsp-20')
('B0495.8', 'gst-5')
('ran-1', 'rom-2')
('mcm-4', 'dct-14')
('Y17G9B.8', 'nhr-194')
('fbxc-51', 'marc-5')
('R04F11.3', 'unc-38')
('B0205.8', 'nlp-13')
('R11H6.2', 'F26A10.2')
('snpc-3.4', 'cah-6')
('C16A3.4', 'odr-7')
('csc-1', 'C05G5.3')
('F35D2.3', 'arrd-6')
('air-1', 'C08G9.1')
('F26A3.1', 'F20G2.6')
('Y106G6H.16', 'tag-273')
('cir-1', 'gcy-37')
('unc-61', 'egl-2')
('rsp-4', 'K07E3.4')
('C34C12.2', 'cng-2')
('C36B1.14', 'T02G5.3')
('pros-1', 'EGAP5.1')
('lem-3', 'C24B5.1')
('cdc-14', 'ZK328.7')
('F22B5.10', 'T21B4.15')
('AH9.3', 'gcy-32')
('grl-7', 'F38B2.4')
('C32B5.18', 'K12H6.12')
('fah-1', 'C54G6.2')
('npp-4', 'daf-4')
('ethe-1', 'F54E4.3')
('Y37E11AL.3', 'unc-68')
('swsn-1', 'fum-1')
('F52B5.7', 'Y17D7B.10')
('F54C8.4', 'T01D3.3')
('ctr-9', 'ccdc-149')
('magu-2', 'fbl-1')
('F10D11.2', 'kqt-3')
('spt-4', 'C27F2.1')
('cutl-16', 'H41C03.2')
('lrp-2', 'lim-9')
('C35E7.5', 'mak-1')
('drp-1', 'cfap-36')
('orc-1', 'glb-12')
('capg-1', 'ZK1010.10')
('phf-5', 'grd-12')
('his-72', 'K05F1.6')
('Y71F9AL.6', 'F07A11.4')
('pir-1', 'hsp-16.41')
('dhhc-9', 'C25B8.8')
('ulp-2', 'aqp-7')
('ced-4', 'eri-6')
('lin-56', 'F26D2.14')
('hcp-1', 'F59G1.4')
('F43D9.1', 'W04A4.2')
('F32E10.5', 'nhr-197')
('W09C5.1', 'snt-3')
('C35D10.13', 'Y71H2AM.10')
('mec-6', 'rcan-1')
('C08B11.9', 'C02E7.7')
('rmh-2', 'fut-8')
('swsn-7', 'cdka-1')
('rig-5', 'prdx-2')
('ceh-43', 'C37C3.11')
('F20D1.1', 'tax-4')
('ccb-2', 'tbc-16')
('R04A9.7', 'R90.1')
('fzr-1', 'F10E9.1')
('tbg-1', 'R07A4.2')
('cec-1', 'C31H2.3')
('Y40C5A.3', 'ZK616.1')
('T23D8.3', 'R12E2.7')
('mrg-1', 'gpa-7')
('rpa-1', 'F55D12.1')
('cdc-5L', 'nhr-182')
('gadr-3', 'F53B7.7')
('ttr-50', 'T06E4.7')
('fan-1', 'nlp-14')
('Y53C12B.2', 'mlc-3')
('rab-7', 'F44A6.4')
('fipp-1', 'gst-40')
('ant-1.1', 'dlc-1')
('rpl-24.2', 'nhr-186')
('hrp-2', 'oaz-1')
('tag-342', 'aat-2')
('Y54E10BR.5', 'anoh-1')
('npp-3', 'max-1')
('Y105E8A.3', 'F27C1.11')
('Y54E5A.5', 'ssu-1')
('C40A11.2', 'rars-2')
('T22C1.1', 'gcy-35')
('jbts-14', 'let-70')
('M01A8.1', 'aex-6')
('gnrr-6', 'snb-1')
('F01F1.11', 'F21D12.3')
('hst-2', 'avr-15')
('T25B2.1', 'ocr-2')
('C24H12.2', 'Y54G2A.26')
('cpsf-3', 'gcy-31')
('flcn-1', 'dod-6')
('tth-1', 'K09E9.1')
('plp-1', 'svh-5')
('F15D4.2', 'T04C12.3')
('F26H9.2', 'R04E5.7')
('F26E4.7', 'cdh-8')
('hmg-5', 'sto-5')
('mcm-5', 'tba-5')
('ins-37', 'ZK1128.7')
('nuo-3', 'F41E7.9')
('igcm-4', 'F46B6.9')
('sws-1', 'srtx-1')
('dpy-22', 'tmem-107')
('xnp-1', 'nlp-47')
('Y51H7C.15', 'nlp-50')
('panl-3', 'T08B2.11')
('hsr-9', 'F41E6.17')
('F10E9.5', 'nphp-2')
('Y73B6BL.36', 'cls-1')
('snr-7', 'nrx-1')
('trr-1', 'nkcc-1')
('F57A8.1', 'his-41')
('C36E6.1', 'tmem-218')
('T02C1.1', 'K07C11.7')
('F40G9.15', 'pdxk-1')
('mat-3', 'pps-1')
('prp-38', 'tyra-3')
('F57G12.1', 'M02D8.6')
('F44B9.5', 'mbr-1')
('him-10', 'ncs-6')
('F53F4.11', 'cyp-33C8')
('acdh-10', 'ensa-1')
('mes-4', 'dgk-5')
('spd-5', 'ssu-2')
('hyls-1', 'ZK54.3')
('aph-1', 'C39B10.7')
('eif-2gamma', 'kin-2')
('pis-1', 'dhhc-11')
('F58F9.1', 'gpd-3')
('kup-1', 'pamn-1')
('cyk-1', 'B0228.6')
('T24B8.2', 'mec-8')
('syx-3', 'crtc-1')
('dex-1', 'daf-25')
('bub-3', 'F54F12.2')
('cacn-1', 'M03A8.3')
('ajm-1', 'kcnl-1')
('dsh-2', 'ace-2')
('let-711', 'clip-1')
('ubh-4', 'srh-184')
('mtm-5', 'C43H6.6')
('snr-4', 'daf-11')
('mdt-28', 'Y39A1C.1')
('nlg-1', 'F41F3.3')
('arrd-1', 'qui-1')
('C12D8.1', 'fbxa-24')
('cids-2', 'F46H5.5')
('mdt-20', 'F26D2.15')
('T26E3.4', 'klp-3')
('snfc-5', 'flp-21')
('R05D11.5', 'flp-14')
('mom-4', 'lin-24')
('toe-2', 'C39D10.2')
('Y53F4B.3', 'srz-100')
('T05F1.4', 'T01G1.2')
('Y54E5A.7', 'tin-9.1')
('C05D2.10', 'eat-16')
('F15A4.2', 'maph-1.1')
('stt-3', 'mct-4')
('pfd-3', 'ZC395.10')
('rnp-4', 'hot-3')
('homt-1', 'T23G5.2')
('dnc-1', 'nhr-50')
('baf-1', 'ZK822.6')
('JC8.4', 'C44B7.7')
('vbh-1', 'nhr-6')
('crm-1', 'syg-1')
('kin-19', 'nhr-105')
('R166.3', 'mapk-15')
('rad-50', 'F16B3.3')
('kbp-3', 'bbs-4')
('aspm-1', 'apt-9')
('amx-1', 'fos-1')
('ztf-6', 'F30F8.5')
('Y46G5A.8', 'col-165')
('egl-30', 'C07A12.7')
('rsp-2', 'C16D9.8')
('knl-3', 'nhr-66')
('tbb-2', 'T09A5.14')
('F53C11.5', 'apl-1')
('nog-1', 'nhr-21')
('cdc-25.2', 'R08A2.7')
('T02G5.14', 'flp-16')
('spd-1', 'ncs-2')
('set-2', 'gpx-1')
('fsn-1', 'Y106G6G.2')
('dpy-28', 'nlp-57')
('arp-6', 'hsp-16.48')
('zipt-7.2', 'D1054.18')
('rpl-41.1', 'nhr-140')
('gtbp-1', 'daf-7')
('T24G10.2', 'bas-1')
('siah-1', 'iglr-3')
('unc-60', 'pck-1')
('R04B3.2', 'glb-34')
('daf-19', 'T04C9.1')
('snr-6', 'Y113G7A.14')
('F40F4.7', 'C35E7.4')
('pkn-1', 'nhr-84')
('aly-3', 'lim-7')
('Y95D11A.3', 'Y50D4B.1')
('rfc-4', 'exp-2')
('pri-1', 'cal-2')
('acin-1', 'T04A8.18')
('C05E7.3', 'F20D6.8')
('epg-4', 'gcy-29')
('K04F10.3', 'C15C7.5')
('ceh-32', 'R02F11.2')
('pig-1', 'K12B6.4')
('moag-4', 'pgp-2')
('gip-1', 'nhr-277')
('T04H1.5', 'gpa-13')
('ctc-2', 'C17H12.10')
('W06H8.6', 'kcnl-2')
('atg-4.1', 'aqp-2')
('W04A8.3', 'C32D5.6')
('pat-3', 'acox-1.5')
('Y46G5A.7', 'lact-1')
('C23H4.6', 'T03F1.11')
('cyl-1', 'stn-1')
('ife-1', 'osm-3')
('dnc-3', 'alh-3')
('M03B6.4', 'F49E2.5')
('nxt-1', 'sri-73')
('par-6', 'acr-12')
('ins-3', 'T05H10.3')
('C18E9.2', 'magu-3')
('mag-1', 'cah-1')
('mtx-1', 'nhr-67')
('zyg-1', 'ttll-11')
('tag-52', 'W07G4.5')
('F09E5.7', 'nhr-44')
('smgl-2', 'T28D6.4')
('Y39B6A.43', 'C56G2.9')
('nduo-6', 'fbxc-53')
('chd-3', 'F02D8.5')
('T06D8.7', 'slo-2')
('atf-2', 'T20F10.5')
('Y37A1A.4', 'C06A8.8')
('F08F8.9', 'flp-5')
('tag-4', 'C12D8.15')
('pdcd-2', 'sipa-1')
('leo-1', 'ctbp-1')
('F36D4.5', 'lin-33')
('F54B11.10', 'phat-5')
('C07D10.5', 'pld-1')
('prp-19', 'ins-18')
('Y63D3A.8', 'col-74')
('dhhc-6', 'F59F5.7')
('str-81', 'Y39A1A.9')
('Y37E11B.2', 'slc-17.4')
('mdt-29', 'ccb-1')
('smc-5', 'ZC581.9')
('F36H9.7', 'gly-12')
('ins-11', 'gdi-1')
('R02F11.4', 'set-20')
('mdt-26', 'B0457.6')
('C02B10.4', 'spat-2')
('cutl-11', 'srm-6')
('abcf-2', 'R74.8')
('F47B10.9', 'T06F4.1')
('ceh-13', 'gpa-18')
('unc-59', 'F54D10.3')
('ekl-6', 'wrt-5')
('F59C6.5', 'C14A11.6')
('his-60', 'F15G9.5')
('gpr-2', 'nhr-47')
('K10D2.5', 'capa-1')
('C09D4.1', 'nhr-36')
('cux-7', 'C27A2.7')
('Y47D3A.1', 'F25E5.16')
('coh-1', 'T23F2.5')
('rsp-6', 'F25F8.1')
('pac-1', 'F20D6.11')
('skpt-1', 'msra-1')
('Y46H3C.5', 'W02D9.10')
('grdn-1', 'sgt-1')
('icln-1', 'ttx-1')
('ntl-9', 'lon-2')
('abhd-11.2', 'Y37F4.2')
('cand-1', 'F36A4.2')
('B0035.1', 'che-13')
('K07H8.10', 'C14E2.7')
('taf-6.1', 'unc-47')
('Y17G7B.21', 'lec-9')
('ntp-1', 'nep-11')
('C41H7.6', 'inx-18')
('fbxb-85', 'T19C4.1')
('col-111', 'hda-11')
('sem-5', 'H41C03.3')
('chaf-2', 'nlp-45')
('fbxb-15', 'nlp-48')
('lin-9', 'nhr-143')
('C41D11.9', 'mlk-1')
('H40L08.2', 'saeg-1')
('wee-1.3', 'camt-1')
('stau-1', 'rimb-1')
('ska-3', 'unc-69')
('ran-2', 'twk-13')
('K08F9.4', 'abu-14')
('C27B7.2', 'F56C4.1')
('mif-3', 'sulp-1')
('art-1', 'E02H4.5')
('C01G10.9', 'hot-9')
('orc-3', 'nhr-216')
('aly-1', 'del-2')
('lin-5', 'cal-4')
('C41H7.4', 'egl-8')
('mog-4', 'gpa-3')
('mog-2', 'R07B7.6')
('wdr-5.1', 'lgc-40')
('mop-25.2', 'pnc-2')
('snx-13', 'K07C11.8')
('E02C12.11', 'Y106G6H.13')
('tim-1', 'srh-119')
('ZK909.6', 'ceh-54')
('usp-48', 'F28B12.1')
('pcm-1', 'F46C5.2')
('plrg-1', 'ift-20')
('ZK1127.13', 'F28A12.3')
('ate-1', 'C14E2.6')
('sftb-2', 'shw-3')
('emb-27', 'vha-17')
('puf-9', 'elc-2')
('rpc-11', 'dyf-1')
('C39E9.12', 'glb-1')
('C34B2.10', 'odr-8')
('mau-8', 'Y73B6BL.29')
('rbpl-1', 'cpx-1')
('lnp-1', 'tank-1')
('zip-4', 'poml-1')
('M18.6', 'gpa-1')
('syx-17', 'F09B12.5')
('chdp-1', 'T19D12.6')
('zipt-3', 'nstp-6')
('swsn-6', 'hot-7')
('mfn-1', 'cah-4')
('lig-1', 'R07B7.9')
('pfd-2', 'Y41C4A.6')
('C46F11.6', 'nlp-35')
('lin-61', 'K09G1.1')
('C27F2.10', 'svop-1')
('cebp-2', 'glb-2')
('vav-1', 'ckk-1')
('rpa-2', 'nlp-41')
('gck-4', 'T09B9.3')
('pmk-1', 'glct-6')
('Y53F4B.9', 'dmsr-9')
('nfyc-1', 'ZK675.4')
('M199.2', 'xrep-4')
('C37A2.8', 'memo-1')
('lin-25', 'jac-1')
('W04B5.2', 'Y43F8C.11')
('vab-1', 'ret-1')
('hda-2', 'unc-79')
('set-3', 'vha-10')
('uaf-2', 'hsd-2')
('gei-4', 'srz-44')
('dog-1', 'R10H10.4')
('scc-3', 'rla-0')
('K07C5.3', 'madd-2')
('gon-4', 'clc-2')
('asc-1', 'C16D9.9')
('F32D8.14', 'col-105')
('K12H4.4', 'C16E9.2')
('shc-2', 'srh-21')
('csn-2', 'C25D7.15')
('atg-4.2', 'F49E2.1')
('epg-8', 'C44B11.1')
('K07B1.7', 'M117.4')
('nuo-4', 'fbxc-14')
('dpy-26', 'ceh-88')
('F52G3.1', 'shl-1')
('cutl-18', 'H04J21.1')
('unc-2', 'Y37D8A.6')
('fbxc-19', 'arrd-15')
('pab-1', 'F57B7.2')
('dpy-27', 'T07F12.2')
('F39B2.3', 'R11D1.2')
('T10E9.1', 'rep-1')
('vha-20', 'F11E6.10')
('C03A7.2', 'nhr-198')
('mboa-6', 'cpn-3')
('trpp-12', 'unc-103')
('ddx-23', 'srt-69')
('T13A10.2', 'sta-1')
('ceh-20', 'npr-5')
('Y37E11B.6', 'tpi-1')
('frm-4', 'ser-3')
('cst-1', 'ZK1320.3')
('T02E9.5', 'K10D6.2')
('taf-1', 'pde-4')
('dohh-1', 'C38C5.1')
('Y48G1C.8', 'Y67A10A.7')
('Y106G6H.14', 'clik-1')
('oma-1', 'saeg-2')
('cel-1', 'Y106G6G.6')
('K02F3.12', 'Y54E2A.8')
('fnci-1', 'mpk-1')
('R06A4.2', 'F35H12.6')
('zfp-2', 'F49E8.6')
('T26A5.6', 'glr-8')
('F21D9.11', 'H13N06.7')
('T07D4.5', 'cgt-1')
('npp-2', 'T23B7.3')
('rgs-7', 'vab-9')
('Y44E3A.6', 'F58H1.2')
('nra-3', 'egl-19')
('T05B4.13', 'lurp-3')
('aipl-1', 'F54G2.1')
('acs-4', 'unc-10')
('Y4C6B.1', 'ins-14')
('C26B9.1', 'unc-18')
('chk-1', 'mig-39')
('R151.6', 'gly-2')
('unc-85', 'pef-1')
('Y59E9AL.36', 'fkb-6')
('JC8.7', 'rdl-1')
('F18G5.6', 'hot-6')
('H40L08.1', 'C51E3.10')
('K01A2.4', 'nhr-167')
('C24F3.2', 'frm-8')
('swsn-3', 'C49A1.1')
('hmg-4', 'F58H1.7')
('hpl-1', 'mvk-1')
('C17D12.7', 'sra-25')
('F33H1.4', 'ceh-62')
('ubc-17', 'nhr-11')
('Y17G7B.3', 'col-107')
('npp-21', 'F31F7.2')
('fbxc-50', 'glb-7')
('Y54G9A.5', 'trpa-2')
('sea-2', 'F38B7.11')
('ama-1', 'zmp-5')
('kbp-1', 'K09C4.10')
('T01G1.4', 'F14D7.11')
